cust_no,recommended_products
C0001494,"P00486,P00245,D0092,D0082,D0004"
C0001511,"P00492,P00264,D0060,D0026,D0074"
C0001513,"D0092,D0086,D0002,D0030,D0063"
C0001523,"P00046,P00422,P00406,D0055,D0037"
C0001528,"P00276,D0028,D0065,D0023,D0077"
C0001531,"P00472,P00348,P00347,P00036,D0099"
C0001534,"D0031,D0093,D0074,D0094,D0054"
C0001535,"D0056,D0080,D0018,D0087,D0038"
C0001536,"D0053,D0098,D0049,D0050,D0060"
C0001555,"P00286,D0078,D0020,D0083,D0068"
C0001558,"D0002,D0001,D0006,D0063,D0046"
C0001571,"D0100,D0095,D0097,D0040,D0077"
C0001573,"D0042,D0099,D0010,D0044,D0016"
C0001577,"P00329,D0027,D0028,D0094,D0006"
C0001581,"P00195,D0070,D0010,D0053,D0081"
C0001595,"P00397,D0038,D0016,D0073,D0059"
C0001600,"D0089,D0048,D0096,D0016,D0026"
C0001605,"D0017,D0011,D0054,D0076,D0044"
C0001607,"D0037,D0006,D0031,D0077,D0019"
C0001612,"P00156,D0009,D0083,D0055,D0064"
C0001622,"P00117,D0019,D0097,D0054,D0012"
C0001625,"D0058,D0028,D0005,D0096,D0043"
C0001633,"P00029,P00283,D0038,D0043,D0076"
C0001641,"P00466,D0043,D0057,D0086,D0067"
C0001662,"P00038,P00220,D0052,D0036,D0081"
C0001665,"P00198,D0008,D0057,D0062,D0061"
C0001692,"D0036,D0062,D0038,D0015,D0100"
C0001693,"P00100,D0041,D0070,D0091,D0060"
C0001695,"P00286,D0033,D0036,D0078,D0094"
C0001698,"D0094,D0060,D0034,D0047,D0061"
C0001699,"D0089,D0060,D0017,D0043,D0005"
C0001705,"P00324,D0030,D0091,D0087,D0083"
C0001706,"D0031,D0015,D0071,D0039,D0069"
C0001711,"P00216,D0018,D0083,D0054,D0093"
C0001713,"D0026,D0056,D0010,D0087,D0070"
C0001714,"D0026,D0049,D0098,D0095,D0078"
C0001723,"D0100,D0052,D0036,D0002,D0035"
C0001730,"P00016,D0050,D0067,D0020,D0034"
C0001731,"P00191,D0028,D0033,D0065,D0073"
C0001732,"D0027,D0097,D0053,D0006,D0001"
C0001740,"D0076,D0031,D0098,D0025,D0082"
C0001748,"P00487,P00272,D0091,D0053,D0083"
C0001768,"P00046,P00412,P00301,D0055,D0029"
C0001769,"D0053,D0013,D0068,D0016,D0087"
C0001770,"D0059,D0022,D0003,D0015,D0005"
C0001777,"P00479,P00219,P00130,D0005,D0052"
C0001784,"P00081,D0072,D0081,D0006,D0047"
C0001789,"D0042,D0078,D0012,D0021,D0033"
C0001805,"D0035,D0014,D0094,D0064,D0003"
C0001806,"P00467,D0099,D0092,D0059,D0049"
C0001808,"D0003,D0081,D0030,D0065,D0059"
C0001816,"P00340,P00437,D0082,D0090,D0062"
C0001826,"P00199,P00421,P00278,D0012,D0048"
C0001837,"D0079,D0067,D0026,D0089,D0005"
C0001839,"P00097,D0037,D0051,D0073,D0059"
C0001854,"P00039,P00414,D0047,D0048,D0036"
C0001863,"P00247,D0062,D0022,D0053,D0061"
C0001867,"P00077,D0041,D0019,D0070,D0094"
C0001870,"P00084,D0017,D0014,D0091,D0080"
C0001871,"P00014,P00071,P00090,P00247,D0041"
C0001891,"P00426,P00054,P00274,D0022,D0096"
C0001902,"D0063,D0002,D0032,D0013,D0040"
C0001906,"D0011,D0032,D0047,D0014,D0059"
C0001912,"D0022,D0016,D0020,D0076,D0086"
C0001927,"P00442,D0013,D0001,D0100,D0074"
C0001945,"D0028,D0090,D0050,D0098,D0032"
C0001953,"D0067,D0040,D0021,D0027,D0046"
C0001958,"D0016,D0024,D0082,D0003,D0049"
C0001960,"D0033,D0058,D0032,D0070,D0026"
C0001963,"D0063,D0035,D0079,D0069,D0022"
C0001969,"P00061,D0070,D0072,D0057,D0076"
C0001979,"P00219,P00245,D0074,D0058,D0082"
C0001982,"D0060,D0087,D0070,D0004,D0045"
C0001984,"D0094,D0014,D0096,D0021,D0046"
C0001990,"P00233,D0044,D0046,D0075,D0051"
C0001995,"D0043,D0094,D0059,D0023,D0075"
C0002003,"D0001,D0081,D0018,D0060,D0097"
C0002004,"P00272,D0007,D0052,D0098,D0094"
C0002009,"P00325,D0097,D0090,D0085,D0030"
C0002021,"D0044,D0028,D0073,D0031,D0081"
C0002022,"D0080,D0018,D0091,D0057,D0022"
C0002027,"P00346,P00277,D0088,D0092,D0056"
C0002035,"D0019,D0016,D0093,D0088,D0040"
C0002040,"P00111,D0002,D0019,D0016,D0089"
C0002042,"D0057,D0093,D0007,D0003,D0035"
C0002044,"D0007,D0071,D0095,D0014,D0008"
C0002046,"P00070,D0002,D0031,D0096,D0045"
C0002047,"P00314,P00120,D0065,D0082,D0051"
C0002052,"P00464,D0062,D0025,D0081,D0100"
C0002055,"P00012,D0087,D0081,D0013,D0099"
C0002066,"P00187,D0086,D0038,D0068,D0021"
C0002067,"D0038,D0091,D0086,D0029,D0015"
C0002068,"D0007,D0079,D0018,D0016,D0091"
C0002076,"D0084,D0042,D0069,D0051,D0098"
C0002079,"P00344,P00465,D0046,D0089,D0088"
C0002082,"P00200,D0015,D0087,D0092,D0047"
C0002085,"P00269,D0025,D0022,D0044,D0023"
C0002086,"D0052,D0065,D0078,D0047,D0022"
C0002087,"D0069,D0007,D0035,D0073,D0051"
C0002091,"P00364,D0084,D0097,D0087,D0032"
C0002096,"P00013,P00148,D0029,D0082,D0020"
C0002102,"D0087,D0040,D0034,D0054,D0048"
C0002112,"D0007,D0036,D0035,D0064,D0068"
C0002113,"P00041,P00327,P00028,D0039,D0008"
C0002118,"D0005,D0079,D0055,D0060,D0017"
C0002120,"P00016,D0098,D0009,D0084,D0027"
C0002128,"D0050,D0018,D0004,D0048,D0026"
C0002130,"P00235,D0060,D0004,D0052,D0076"
C0002134,"D0040,D0001,D0060,D0018,D0009"
C0002135,"D0077,D0072,D0093,D0006,D0067"
C0002137,"P00452,P00496,D0078,D0097,D0028"
C0002141,"P00323,P00195,P00011,D0083,D0026"
C0002142,"P00335,D0038,D0005,D0008,D0010"
C0002145,"P00390,D0009,D0025,D0064,D0090"
C0002146,"D0023,D0052,D0047,D0098,D0079"
C0002147,"P00403,D0094,D0073,D0038,D0053"
C0002151,"P00114,D0066,D0095,D0086,D0100"
C0002153,"P00420,D0059,D0035,D0091,D0085"
C0002158,"D0013,D0052,D0094,D0067,D0066"
C0002168,"P00284,D0032,D0016,D0095,D0067"
C0002169,"D0052,D0024,D0017,D0025,D0029"
C0002175,"D0054,D0076,D0059,D0050,D0060"
C0002178,"P00020,P00291,D0004,D0026,D0031"
C0002185,"P00038,P00125,P00447,D0089,D0060"
C0002190,"P00317,D0091,D0009,D0059,D0008"
C0002196,"P00423,P00072,P00302,D0008,D0067"
C0002200,"D0071,D0001,D0059,D0100,D0079"
C0002203,"D0096,D0044,D0021,D0043,D0009"
C0002208,"D0027,D0037,D0090,D0006,D0032"
C0002215,"D0080,D0073,D0054,D0008,D0005"
C0002217,"D0008,D0058,D0077,D0005,D0097"
C0002222,"P00498,P00010,D0009,D0027,D0041"
C0002226,"P00036,D0052,D0099,D0044,D0028"
C0002233,"P00263,P00090,P00029,P00392,D0028"
C0002236,"P00097,P00497,P00421,D0017,D0041"
C0002239,"P00279,P00121,D0007,D0004,D0033"
C0002248,"D0073,D0100,D0066,D0012,D0055"
C0002251,"P00070,P00490,D0093,D0057,D0082"
C0002253,"P00117,P00165,D0013,D0074,D0049"
C0002256,"P00036,P00478,D0061,D0020,D0024"
C0002266,"D0043,D0042,D0056,D0081,D0053"
C0002267,"P00060,P00272,D0093,D0085,D0011"
C0002268,"P00355,D0025,D0006,D0099,D0027"
C0002271,"P00294,P00398,D0036,D0046,D0053"
C0002272,"D0027,D0053,D0066,D0030,D0008"
C0002278,"P00025,D0089,D0090,D0099,D0077"
C0002280,"D0049,D0063,D0061,D0035,D0031"
C0002282,"D0023,D0073,D0044,D0051,D0076"
C0002291,"P00353,P00491,D0088,D0064,D0051"
C0002299,"P00299,P00445,P00156,D0052,D0029"
C0002301,"D0012,D0028,D0063,D0083,D0077"
C0002302,"D0077,D0052,D0085,D0047,D0072"
C0002306,"D0090,D0086,D0039,D0059,D0068"
C0002309,"P00012,P00054,P00498,D0097,D0082"
C0002313,"P00403,D0082,D0017,D0013,D0079"
C0002316,"P00396,D0088,D0010,D0096,D0089"
C0002320,"D0099,D0088,D0024,D0098,D0004"
C0002324,"P00356,P00422,D0037,D0061,D0056"
C0002326,"D0023,D0008,D0067,D0061,D0007"
C0002335,"D0049,D0097,D0014,D0009,D0082"
C0002347,"P00293,D0035,D0094,D0001,D0038"
C0002352,"D0099,D0092,D0059,D0047,D0068"
C0002359,"P00203,P00308,P00181,P00179,D0015"
C0002361,"D0006,D0057,D0033,D0007,D0024"
C0002362,"D0054,D0005,D0061,D0098,D0038"
C0002381,"D0027,D0032,D0014,D0075,D0047"
C0002387,"P00373,P00160,D0070,D0082,D0022"
C0002389,"D0070,D0008,D0089,D0085,D0023"
C0002393,"P00340,P00348,P00289,D0007,D0076"
C0002394,"P00225,D0041,D0065,D0082,D0004"
C0002395,"D0064,D0091,D0038,D0049,D0068"
C0002404,"D0072,D0030,D0042,D0013,D0045"
C0002406,"D0007,D0063,D0006,D0092,D0073"
C0002409,"D0027,D0046,D0024,D0077,D0032"
C0002413,"D0017,D0026,D0013,D0079,D0029"
C0002415,"P00229,P00316,P00250,P00331,D0059"
C0002421,"P00061,D0090,D0047,D0100,D0099"
C0002426,"P00007,P00203,D0098,D0024,D0074"
C0002440,"D0048,D0009,D0005,D0058,D0056"
C0002443,"D0063,D0047,D0035,D0081,D0032"
C0002445,"P00313,D0040,D0025,D0035,D0091"
C0002446,"D0060,D0070,D0083,D0014,D0082"
C0002449,"D0080,D0069,D0073,D0067,D0020"
C0002451,"P00195,D0005,D0073,D0061,D0074"
C0002458,"D0072,D0093,D0018,D0025,D0039"
C0002459,"D0056,D0003,D0066,D0098,D0086"
C0002468,"D0040,D0070,D0076,D0035,D0032"
C0002481,"P00284,P00088,D0037,D0041,D0053"
C0002484,"P00340,D0093,D0005,D0021,D0015"
C0002486,"P00376,P00228,D0055,D0074,D0038"
C0002488,"D0037,D0035,D0020,D0088,D0028"
C0002496,"P00095,P00358,D0002,D0007,D0072"
C0002498,"P00333,P00402,D0083,D0091,D0062"
C0002499,"D0088,D0001,D0052,D0076,D0026"
C0002502,"D0028,D0071,D0035,D0089,D0092"
C0002504,"D0059,D0095,D0017,D0039,D0055"
C0002513,"P00461,P00056,D0075,D0043,D0016"
C0002517,"P00153,D0045,D0044,D0071,D0096"
C0002520,"P00239,D0006,D0035,D0060,D0030"
C0002534,"P00388,P00216,P00023,P00063,D0044"
C0002535,"P00024,D0063,D0083,D0001,D0057"
C0002541,"D0005,D0031,D0094,D0051,D0024"
C0002546,"D0024,D0068,D0041,D0052,D0079"
C0002547,"P00083,P00231,D0021,D0019,D0006"
C0002550,"P00218,P00354,P00434,D0068,D0091"
C0002555,"D0019,D0052,D0007,D0013,D0080"
C0002557,"D0068,D0008,D0014,D0099,D0049"
C0002560,"P00018,D0096,D0095,D0086,D0037"
C0002572,"P00428,P00195,D0060,D0004,D0037"
C0002579,"D0016,D0058,D0020,D0077,D0021"
C0002580,"P00165,D0057,D0053,D0068,D0024"
C0002584,"P00288,D0031,D0087,D0083,D0011"
C0002586,"P00374,P00460,P00020,P00061,D0067"
C0002590,"P00346,P00222,D0052,D0018,D0051"
C0002603,"D0022,D0082,D0066,D0033,D0038"
C0002606,"D0069,D0045,D0003,D0025,D0058"
C0002609,"D0072,D0031,D0018,D0051,D0008"
C0002610,"D0088,D0013,D0035,D0063,D0059"
C0002615,"P00355,D0083,D0062,D0016,D0095"
C0002617,"P00099,D0073,D0010,D0013,D0047"
C0002622,"D0092,D0049,D0099,D0015,D0060"
C0002623,"P00314,P00302,P00024,D0019,D0028"
C0002625,"P00297,P00353,P00459,P00493,D0066"
C0002627,"D0067,D0032,D0020,D0001,D0089"
C0002636,"D0070,D0050,D0086,D0030,D0060"
C0002637,"D0061,D0053,D0040,D0030,D0050"
C0002639,"D0081,D0008,D0033,D0042,D0037"
C0002642,"P00310,D0064,D0056,D0098,D0073"
C0002648,"P00393,D0046,D0009,D0053,D0094"
C0002663,"D0040,D0100,D0082,D0045,D0035"
C0002665,"P00038,D0069,D0001,D0080,D0016"
C0002677,"D0024,D0070,D0098,D0095,D0089"
C0002678,"P00455,D0064,D0004,D0042,D0023"
C0002679,"P00364,P00148,P00014,D0037,D0047"
C0002681,"D0007,D0081,D0047,D0018,D0100"
C0002685,"D0041,D0018,D0001,D0075,D0079"
C0002688,"D0089,D0064,D0046,D0088,D0016"
C0002699,"D0017,D0077,D0091,D0012,D0062"
C0002700,"D0054,D0018,D0087,D0025,D0077"
C0002702,"D0014,D0043,D0004,D0083,D0041"
C0002704,"P00452,D0013,D0060,D0075,D0005"
